COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
279;1;SAO PAULO;0;8;0;1057;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;618;0;0;0;0;0;
565;1;SAO PAULO;0;14;0;521;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;293;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;684;450;347;0;0;0;
36456;1;SAO PAULO;0;0;0;0;399;354;0;0;0;
46243;1;SAO PAULO;0;0;0;441;490;553;0;0;0;
924751;1;SAO PAULO;0;0;0;0;804;0;0;0;986;
924763;1;SAO PAULO;0;0;0;0;70;521;0;0;247;
383;1;SAO PAULO;0;1;0;0;565;567;0;0;0;
656;1;SAO PAULO;0;0;0;0;269;0;0;0;0;
681;1;SAO PAULO;0;10;0;356;274;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;210;197;0;0;137;
3670;1;SAO PAULO;0;0;0;0;667;613;0;0;0;
3712;1;SAO PAULO;0;0;0;562;656;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;20;0;598;0;0;0;0;0;
1065;1;SAO PAULO;0;14;0;755;0;0;0;0;0;
1168;1;SAO PAULO;0;6;0;0;403;537;0;0;0;
37771;1;SAO PAULO;0;20;0;400;0;0;0;0;0;
906141;1;SAO PAULO;0;0;0;524;268;114;0;0;0;
916729;1;SAO PAULO;0;22;0;0;554;459;0;0;161;
918748;1;SAO PAULO;0;0;0;720;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2112;1;SAO PAULO;0;0;0;0;730;0;0;0;270;
2318;1;SAO PAULO;0;0;0;0;795;874;0;0;0;
24;1;SAO PAULO;0;0;0;456;497;772;0;0;359;
73;1;SAO PAULO;0;0;0;411;0;0;0;0;0;
85;1;SAO PAULO;0;15;0;559;0;0;0;0;0;
176;1;SAO PAULO;0;90;0;0;385;501;0;0;197;
267;1;SAO PAULO;0;0;0;0;361;807;0;0;0;
361;1;SAO PAULO;0;16;0;619;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;906;808;0;0;0;
48598;1;SAO PAULO;0;5;0;562;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;271;288;199;0;0;0;
559210;1;SAO PAULO;0;0;0;117;59;29;0;0;19;
901672;1;SAO PAULO;0;0;0;423;0;0;0;0;0;
923624;1;SAO PAULO;0;14;0;0;449;380;0;0;120;
498;1;SAO PAULO;0;0;0;0;214;362;0;0;41;
784;1;SAO PAULO;0;0;0;222;230;0;0;0;0;
899;1;SAO PAULO;0;10;0;307;0;0;0;0;0;
917;1;SAO PAULO;0;6;0;0;297;326;0;0;158;
1454;1;SAO PAULO;0;0;0;0;571;326;0;0;0;
3414;1;SAO PAULO;0;0;0;782;0;0;0;0;0;
3621;1;SAO PAULO;0;8;0;1224;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;457;0;0;0;0;0;
37758;1;SAO PAULO;0;2;0;517;0;0;0;0;0;
1284;1;SAO PAULO;0;4;0;0;296;459;0;0;0;
48616;1;SAO PAULO;0;38;0;0;623;432;0;0;0;
904272;1;SAO PAULO;0;12;0;324;0;0;0;0;0;
911537;1;SAO PAULO;0;26;0;369;244;151;0;0;192;
913820;1;SAO PAULO;0;7;0;0;0;345;0;0;0;
673;1;SAO PAULO;0;0;0;0;683;729;0;0;0;
61;1;SAO PAULO;0;11;0;876;0;0;0;0;0;
224;1;SAO PAULO;0;0;0;0;461;787;0;0;133;
37692;1;SAO PAULO;0;0;0;0;247;200;0;0;0;
37722;1;SAO PAULO;0;0;0;780;0;0;0;0;0;
479500;1;SAO PAULO;0;0;0;128;508;0;0;0;0;
910302;1;SAO PAULO;0;14;0;0;769;867;0;0;0;
926103;1;SAO PAULO;0;0;0;470;0;0;0;0;0;
528;1;SAO PAULO;0;0;0;0;276;440;0;0;0;
985;1;SAO PAULO;0;0;0;596;0;0;0;0;0;
1478;1;SAO PAULO;0;0;0;541;576;0;0;0;0;
1659;1;SAO PAULO;0;0;0;0;650;594;0;0;41;
3487;1;SAO PAULO;0;0;0;537;0;0;0;0;0;
38124;1;SAO PAULO;0;0;0;419;429;0;0;0;0;
425;1;SAO PAULO;0;0;0;780;0;0;0;0;0;
693;1;SAO PAULO;0;0;0;458;355;211;0;0;0;
1036;1;SAO PAULO;0;0;0;0;266;157;0;0;0;
1053;1;SAO PAULO;0;0;0;590;0;0;0;0;0;
1296;1;SAO PAULO;0;0;0;0;468;485;0;0;0;
1302;1;SAO PAULO;0;12;0;0;192;184;0;0;124;
1348;1;SAO PAULO;0;26;0;470;554;216;0;0;0;
1442;1;SAO PAULO;0;11;0;181;208;185;0;0;0;
1508;1;SAO PAULO;0;4;0;401;0;0;0;0;0;
2021;1;SAO PAULO;0;0;0;425;0;0;0;0;0;
2239;1;SAO PAULO;0;0;0;0;242;195;0;0;0;
37369;1;SAO PAULO;0;0;0;578;0;0;0;0;0;
38106;1;SAO PAULO;0;0;0;663;0;0;0;0;0;
414396;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
188;1;SAO PAULO;0;0;0;0;473;467;0;0;0;
395;1;SAO PAULO;0;0;0;0;212;409;0;0;280;
401;1;SAO PAULO;0;0;0;0;488;437;0;0;0;
413;1;SAO PAULO;0;0;0;0;220;333;0;0;101;
37667;1;SAO PAULO;0;0;0;553;0;0;0;0;0;
37679;1;SAO PAULO;0;0;0;0;467;348;0;0;0;
39342;1;SAO PAULO;0;0;0;191;91;73;0;0;0;
46255;1;SAO PAULO;0;0;0;730;0;0;0;0;388;
923618;1;SAO PAULO;0;0;0;968;0;0;0;0;0;
3499;1;SAO PAULO;0;0;0;0;0;384;0;0;0;
3566;1;SAO PAULO;0;0;0;0;129;148;0;0;67;
735;1;SAO PAULO;0;0;0;0;357;767;0;0;332;
1077;1;SAO PAULO;0;3;0;1030;0;0;0;0;0;
1326;1;SAO PAULO;0;16;0;0;409;307;0;0;235;
1338;1;SAO PAULO;0;18;0;657;0;0;0;0;0;
46036;1;SAO PAULO;0;3;0;296;0;0;0;0;0;
915658;1;SAO PAULO;0;9;0;402;368;0;0;0;0;
747;1;SAO PAULO;0;0;0;0;331;571;0;0;0;
1582;1;SAO PAULO;0;14;0;842;0;0;0;0;0;
1867;1;SAO PAULO;0;0;0;327;336;418;0;0;0;
1934;1;SAO PAULO;0;0;0;0;332;393;0;0;0;
2136;1;SAO PAULO;0;0;0;0;271;230;0;0;0;
2227;1;SAO PAULO;0;0;0;0;422;0;0;0;158;
4450;1;SAO PAULO;0;0;0;0;0;0;12;24;21;
4451;1;SAO PAULO;0;0;0;0;0;0;43;79;54;
3190;1;SAO PAULO;0;0;0;532;0;0;0;0;0;
97;1;SAO PAULO;0;0;0;0;0;752;0;0;237;
36500;1;SAO PAULO;0;0;0;413;0;0;0;0;0;
37102;1;SAO PAULO;0;0;0;0;0;390;0;0;193;
40460;1;SAO PAULO;0;0;0;478;0;0;0;0;0;
414612;1;SAO PAULO;0;0;0;918;0;0;0;0;0;
457243;1;SAO PAULO;0;0;0;554;627;0;0;0;391;
910296;1;SAO PAULO;0;0;0;812;0;0;0;0;0;
358;1;SAO PAULO;0;12;0;239;314;0;0;0;0;
760;1;SAO PAULO;0;0;0;0;139;435;0;0;0;
1521;1;SAO PAULO;0;0;0;415;409;118;0;0;0;
454382;1;SAO PAULO;0;0;0;0;0;0;38;52;49;
607;1;SAO PAULO;0;0;0;0;617;701;0;0;381;
772;1;SAO PAULO;0;9;0;650;0;0;0;0;0;
1181;1;SAO PAULO;0;41;0;770;0;0;0;0;0;
1223;1;SAO PAULO;0;0;0;428;0;0;0;0;0;
1235;1;SAO PAULO;0;0;0;0;243;390;0;0;252;
37382;1;SAO PAULO;0;16;0;531;502;555;0;0;0;
700;1;SAO PAULO;0;0;0;872;0;0;0;0;0;
1491;1;SAO PAULO;0;8;0;0;345;185;0;0;0;
1703;1;SAO PAULO;0;0;0;0;0;1529;0;0;0;
1910;1;SAO PAULO;0;0;0;0;129;81;0;0;0;
2161;1;SAO PAULO;0;0;0;0;290;266;0;0;0;
2197;1;SAO PAULO;0;0;0;0;534;582;0;0;0;
2297;1;SAO PAULO;0;0;0;0;252;493;0;0;346;
36973;1;SAO PAULO;0;0;0;0;267;226;0;0;0;
39100;1;SAO PAULO;0;0;0;466;0;0;0;0;0;
2410;1;SAO PAULO;0;15;0;617;0;0;0;0;0;
619;1;SAO PAULO;0;18;0;506;0;0;0;0;0;
37643;1;SAO PAULO;0;0;0;0;405;0;0;0;0;
37709;1;SAO PAULO;0;0;0;0;322;288;0;0;173;
44261;1;SAO PAULO;0;0;0;195;133;142;0;0;23;
901684;1;SAO PAULO;0;14;0;0;351;767;0;0;0;
924748;1;SAO PAULO;0;0;0;0;572;0;0;0;0;
559600;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
930;1;SAO PAULO;0;0;0;0;217;54;0;0;0;
875;1;SAO PAULO;0;0;0;0;408;293;0;0;0;
1004;1;SAO PAULO;0;0;0;0;321;198;0;0;0;
1016;1;SAO PAULO;0;30;0;0;466;1110;0;0;0;
1247;1;SAO PAULO;0;0;0;0;328;363;0;0;0;
1351;1;SAO PAULO;0;0;0;706;0;0;0;0;0;
37761;1;SAO PAULO;0;9;0;610;0;0;0;0;0;
269360;1;SAO PAULO;0;13;0;1013;0;0;0;0;0;
915661;1;SAO PAULO;0;24;0;410;398;0;0;0;0;
838;1;SAO PAULO;0;0;0;0;387;434;0;0;282;
1776;1;SAO PAULO;0;0;0;288;274;115;0;0;0;
2124;1;SAO PAULO;0;0;0;315;0;0;0;0;0;
39111;1;SAO PAULO;0;0;0;319;0;0;0;0;0;
2380;1;SAO PAULO;0;11;0;911;0;0;0;0;0;
2525;1;SAO PAULO;0;0;0;0;394;421;0;0;306;
2550;1;SAO PAULO;0;0;0;0;0;395;0;0;0;
