COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO
103;1;SAO PAULO;0;0;0;1028;0;0;0;0;0
139;1;SAO PAULO;0;0;0;0;269;1093;0;0;332
197;1;SAO PAULO;0;0;0;0;212;469;0;0;174
206;1;SAO PAULO;0;21;0;533;0;0;0;0;0
218;1;SAO PAULO;0;0;0;0;0;860;0;0;0
231;1;SAO PAULO;0;28;0;914;0;0;0;0;0
243;1;SAO PAULO;0;26;0;454;0;0;0;0;0
255;1;SAO PAULO;0;0;0;0;339;65;0;0;0
620;1;SAO PAULO;0;0;0;0;317;106;0;0;0
37102;1;SAO PAULO;0;0;0;0;0;647;0;0;128
37643;1;SAO PAULO;0;0;0;0;386;0;0;0;0
37679;1;SAO PAULO;0;0;0;0;422;483;0;0;0
37692;1;SAO PAULO;0;0;0;0;289;211;0;0;0
41683;1;SAO PAULO;0;0;0;696;0;0;0;0;0
48598;1;SAO PAULO;0;7;0;443;0;0;0;0;0
72503;1;SAO PAULO;0;0;0;0;342;134;0;0;0
130321;1;SAO PAULO;0;0;0;292;294;341;0;0;178
269359;1;SAO PAULO;0;0;0;0;361;835;0;0;1
923618;1;SAO PAULO;0;0;0;952;0;0;0;0;0
924398;1;SAO PAULO;0;0;0;297;0;298;0;0;0
924726;1;SAO PAULO;0;0;0;530;0;0;0;0;0
449;1;SAO PAULO;0;0;0;471;0;0;0;0;0
462;1;SAO PAULO;0;0;0;0;270;140;0;0;0
590;1;SAO PAULO;0;35;0;581;0;0;0;0;0
681;1;SAO PAULO;0;11;0;420;315;0;0;0;0
848;1;SAO PAULO;0;0;0;0;491;642;0;0;228
899;1;SAO PAULO;0;0;0;297;0;0;0;0;0
929;1;SAO PAULO;0;0;0;0;0;599;0;0;0
1478;1;SAO PAULO;0;0;0;532;593;0;0;0;0
1521;1;SAO PAULO;0;0;0;483;378;0;0;0;0
1659;1;SAO PAULO;0;0;0;0;594;593;0;0;0
3475;1;SAO PAULO;0;0;0;0;276;0;0;0;0
3487;1;SAO PAULO;0;0;0;530;0;0;0;0;0
3852;1;SAO PAULO;0;0;0;0;268;238;0;0;0
918994;1;SAO PAULO;0;0;0;328;0;0;0;0;0
483485;1;SAO PAULO;0;0;0;0;0;0;0;0;0
559684;1;SAO PAULO;0;0;0;0;40;35;0;0;0
371;1;SAO PAULO;0;0;0;0;270;1096;0;0;0
425;1;SAO PAULO;0;0;0;734;0;0;0;0;0
607;1;SAO PAULO;0;0;0;0;520;730;0;0;295
863;1;SAO PAULO;0;8;0;370;0;0;0;0;0
875;1;SAO PAULO;0;15;0;0;334;437;0;0;0
1004;1;SAO PAULO;0;17;0;0;335;186;0;0;0
1119;1;SAO PAULO;0;8;0;608;0;0;0;0;0
1132;1;SAO PAULO;0;5;0;0;452;515;0;0;0
1144;1;SAO PAULO;0;0;0;0;512;787;0;0;0
1156;1;SAO PAULO;0;0;0;0;535;685;0;0;467
1173;1;SAO PAULO;0;23;0;0;452;1313;0;0;0
1181;1;SAO PAULO;0;33;0;735;0;0;0;0;0
1193;1;SAO PAULO;0;13;0;442;362;275;0;0;0
1272;1;SAO PAULO;0;6;0;0;341;156;0;0;0
1296;1;SAO PAULO;0;0;0;0;470;522;0;0;0
37795;1;SAO PAULO;0;14;0;0;517;540;0;0;0
48616;1;SAO PAULO;0;33;0;0;517;306;0;0;0
579476;1;SAO PAULO;0;5;0;212;0;0;0;0;0
906153;1;SAO PAULO;0;25;0;1300;0;0;0;0;0
906803;1;SAO PAULO;0;2;0;0;261;61;0;0;0
915658;1;SAO PAULO;0;12;0;333;395;0;0;0;0
458314;1;SAO PAULO;0;0;0;0;0;0;0;0;0
673;1;SAO PAULO;0;0;0;0;647;620;0;0;0
747;1;SAO PAULO;0;0;0;0;316;439;0;0;0
838;1;SAO PAULO;0;0;0;0;482;743;0;0;300
851;1;SAO PAULO;0;15;0;544;0;0;0;0;0
1375;1;SAO PAULO;0;20;0;0;101;64;0;0;0
1430;1;SAO PAULO;0;0;0;474;0;0;0;0;0
1442;1;SAO PAULO;0;10;0;216;182;262;0;0;0
1485;1;SAO PAULO;0;8;0;307;0;0;0;0;0
1491;1;SAO PAULO;0;14;0;0;361;0;0;0;0
1740;1;SAO PAULO;0;0;0;0;276;124;0;0;0
1776;1;SAO PAULO;0;0;0;254;261;180;0;0;0
1867;1;SAO PAULO;0;0;0;283;293;379;0;0;0
2100;1;SAO PAULO;0;0;0;527;0;0;0;0;0
2227;1;SAO PAULO;0;0;0;0;417;0;0;0;0
2264;1;SAO PAULO;0;0;0;0;0;1688;0;0;238
2318;1;SAO PAULO;0;0;0;0;757;958;0;0;0
37333;1;SAO PAULO;0;0;0;369;0;0;0;0;0
414281;1;SAO PAULO;0;0;0;0;20;28;0;0;0
414360;1;SAO PAULO;0;0;0;0;19;19;0;0;0
414396;1;SAO PAULO;0;0;0;2;23;11;0;0;0
428863;1;SAO PAULO;0;0;0;3;25;20;0;0;0
2513;1;SAO PAULO;0;0;0;0;0;1586;0;0;0
2525;1;SAO PAULO;0;0;0;0;395;321;0;0;135
2537;1;SAO PAULO;0;0;0;516;0;0;0;0;0
2574;1;SAO PAULO;0;0;0;0;716;0;0;0;0
2586;1;SAO PAULO;0;0;0;0;542;677;0;0;0
2719;1;SAO PAULO;0;0;0;0;314;634;0;0;0
2744;1;SAO PAULO;0;0;0;0;0;430;0;0;0
2793;1;SAO PAULO;0;6;0;0;538;0;0;0;0
2811;1;SAO PAULO;0;0;0;0;554;339;0;0;0
2987;1;SAO PAULO;0;7;0;616;0;0;0;0;0
3116;1;SAO PAULO;0;0;0;0;574;512;0;0;0
3219;1;SAO PAULO;0;16;0;672;0;0;0;0;0
3220;1;SAO PAULO;0;0;0;0;821;1347;0;0;0
36778;1;SAO PAULO;0;0;0;754;0;0;0;0;0
36808;1;SAO PAULO;0;0;0;248;0;0;0;0;0
40320;1;SAO PAULO;0;0;0;790;0;0;0;0;0
40964;1;SAO PAULO;0;0;0;333;340;288;0;0;0
46280;1;SAO PAULO;0;12;0;860;0;0;0;0;0
902248;1;SAO PAULO;0;0;0;560;0;0;0;0;0
906955;1;SAO PAULO;0;8;0;649;0;0;0;0;0
910855;1;SAO PAULO;0;0;0;555;0;0;0;0;0
916493;1;SAO PAULO;0;0;0;0;282;349;0;0;64
985065;1;SAO PAULO;0;0;0;0;0;0;0;0;0
2471;1;SAO PAULO;0;0;0;0;103;429;0;0;0
2598;1;SAO PAULO;0;0;0;0;288;138;0;0;0
2636;1;SAO PAULO;0;0;0;0;186;691;0;0;0
2641;1;SAO PAULO;0;0;0;0;0;644;0;0;0
2690;1;SAO PAULO;0;0;0;0;421;268;0;0;0
3098;1;SAO PAULO;0;0;0;534;0;0;0;0;0
3104;1;SAO PAULO;0;0;0;0;704;597;0;0;0
3136;1;SAO PAULO;0;0;0;476;0;0;0;0;0
3153;1;SAO PAULO;0;0;0;0;484;162;0;0;0
3189;1;SAO PAULO;0;0;0;929;0;0;0;0;0
39263;1;SAO PAULO;0;0;0;0;349;136;0;0;0
41671;1;SAO PAULO;0;0;0;456;0;0;0;0;0
41701;1;SAO PAULO;0;17;0;670;0;0;0;0;0
44283;1;SAO PAULO;0;0;0;0;191;240;0;0;0
48641;1;SAO PAULO;0;0;0;0;521;303;0;0;0
901702;1;SAO PAULO;0;0;0;0;581;321;0;0;0
902792;1;SAO PAULO;0;0;0;285;245;173;0;0;0
902810;1;SAO PAULO;0;0;0;279;278;139;0;0;0
909026;1;SAO PAULO;0;0;0;414;0;0;0;0;0
909051;1;SAO PAULO;0;0;0;134;268;416;0;0;0
909075;1;SAO PAULO;0;0;0;258;304;256;0;0;0
909105;1;SAO PAULO;0;0;0;0;175;137;0;0;0
909130;1;SAO PAULO;0;0;0;0;489;287;0;0;0
914678;1;SAO PAULO;0;39;0;813;0;0;0;0;0
924209;1;SAO PAULO;0;0;0;548;0;0;0;0;0
295985;1;SAO PAULO;0;0;0;5;34;13;0;0;0
2859;1;SAO PAULO;0;12;0;645;717;701;0;0;0
2860;1;SAO PAULO;0;0;0;439;0;702;0;0;293
2938;1;SAO PAULO;0;33;0;632;0;0;0;0;0
2948;1;SAO PAULO;0;19;0;880;0;0;0;0;0
2963;1;SAO PAULO;0;11;0;0;543;257;0;0;0
36791;1;SAO PAULO;0;14;0;713;0;0;0;0;0
37023;1;SAO PAULO;0;0;0;0;412;221;0;0;0
37357;1;SAO PAULO;0;35;0;525;603;492;0;0;0
38118;1;SAO PAULO;0;4;0;889;0;0;0;0;0
39123;1;SAO PAULO;0;0;0;0;637;1230;0;0;0
46309;1;SAO PAULO;0;0;0;0;0;500;0;0;0
434292;1;SAO PAULO;0;6;0;573;0;0;0;0;0
902861;1;SAO PAULO;0;5;0;0;396;158;0;0;0
904636;1;SAO PAULO;0;0;0;520;0;0;0;0;0
906165;1;SAO PAULO;0;0;0;487;593;501;0;0;178
907157;1;SAO PAULO;0;24;0;0;398;984;0;0;0
910284;1;SAO PAULO;0;0;0;0;498;256;0;0;0
916500;1;SAO PAULO;0;11;0;616;0;0;0;0;0
916523;1;SAO PAULO;0;0;0;0;284;354;0;0;153
917382;1;SAO PAULO;0;0;0;0;447;569;0;0;0
923588;1;SAO PAULO;0;16;0;0;376;234;0;0;0
924829;1;SAO PAULO;0;0;0;0;391;0;0;0;0
3177;1;SAO PAULO;0;0;0;846;0;0;0;0;0
3244;1;SAO PAULO;0;0;0;0;480;222;0;0;0
3268;1;SAO PAULO;0;0;0;0;346;199;0;0;0
36812;1;SAO PAULO;0;0;0;0;324;141;0;0;0
37084;1;SAO PAULO;0;11;0;0;489;567;0;0;0
43746;1;SAO PAULO;0;0;0;0;617;711;0;0;0
48653;1;SAO PAULO;0;0;0;0;255;356;0;0;0
267971;1;SAO PAULO;0;0;0;510;0;0;0;0;0
284324;1;SAO PAULO;0;0;0;431;396;426;0;0;0
902724;1;SAO PAULO;0;0;0;275;268;205;0;0;0
904296;1;SAO PAULO;0;0;0;0;374;607;0;0;0
904314;1;SAO PAULO;0;0;0;0;327;88;0;0;0
904922;1;SAO PAULO;0;0;0;503;0;0;0;0;0
906177;1;SAO PAULO;0;0;0;346;0;0;0;0;0
908368;1;SAO PAULO;0;0;0;661;519;546;0;0;0
908782;1;SAO PAULO;0;0;0;647;0;0;0;0;0
909117;1;SAO PAULO;0;0;0;0;287;417;0;0;0
910831;1;SAO PAULO;0;0;0;618;431;404;0;0;0
